,movie_title,director_name,imdb_score
3816,Running Forever ,Mike Mayhall,8.6
3592,The Usual Suspects ,Bryan Singer,8.6
2952,Spartacus: War of the Damned             ,,8.6
3277,Alien ,Ridley Scott,8.5
3716,Memento ,Christopher Nolan,8.5
2363,Back to the Future ,Robert Zemeckis,8.5
288,Terminator 2: Judgment Day ,James Cameron,8.5
2152,Raiders of the Lost Ark ,Steven Spielberg,8.5
1448,The Pianist ,Roman Polanski,8.5
3,The Dark Knight Rises ,Christopher Nolan,8.5
3931,Samsara ,Ron Fricke,8.5
4921,Children of Heaven ,Majid Majidi,8.5
296,Django Unchained ,Quentin Tarantino,8.5
361,The Departed ,Martin Scorsese,8.5
4869,Happy Valley             ,,8.5
3870,Airlift ,Raja Menon,8.5
4028,Whiplash ,Damien Chazelle,8.5
509,The Lion King ,Roger Allers,8.5
1664,Entourage             ,,8.5
1233,The Prestige ,Christopher Nolan,8.5
4359,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Stanley Kubrick,8.5
1035,Outlander             ,,8.5
712,The Green Mile ,Frank Darabont,8.5
1571,Apocalypse Now ,Francis Ford Coppola,8.5
2242,Psycho ,Alfred Hitchcock,8.5
283,Gladiator ,Ridley Scott,8.5
4259,The Lives of Others ,Florian Henckel von Donnersmarck,8.5
4017,"Batman: The Dark Knight Returns, Part 2 ",Jay Oliva,8.4
4937,A Charlie Brown Christmas ,Bill Melendez,8.4
2686,U2 3D ,Catherine Owens,8.4
4496,Reservoir Dogs ,Quentin Tarantino,8.4
857,Stargate SG-1             ,,8.4
3982,M*A*S*H             ,,8.4
2606,American Beauty ,Sam Mendes,8.4
2644,Lawrence of Arabia ,David Lean,8.4
4105,Oldboy ,Chan-wook Park,8.4
4748,The Other Dream Team ,Marius A. Markevicius,8.4
2486,Aliens ,James Cameron,8.4
573,Braveheart ,Mel Gibson,8.4
1714,Once Upon a Time in America ,Sergio Leone,8.4
4253,To Kill a Mockingbird ,Robert Mulligan,8.4
1536,Star Wars: Episode VI - Return of the Jedi ,Richard Marquand,8.4
2970,Das Boot ,Wolfgang Petersen,8.4
1504,Lion of the Desert ,Moustapha Akkad,8.4
4659,A Separation ,Asghar Farhadi,8.4
1298,Amélie ,Jean-Pierre Jeunet,8.4
3871,Anne of Green Gables             ,,8.4
3661,The Inbetweeners             ,,8.4
2323,Princess Mononoke ,Hayao Miyazaki,8.4
3849,Requiem for a Dream ,Darren Aronofsky,8.4
3623,Veronica Mars             ,,8.4
3685,Rang De Basanti ,Rakeysh Omprakash Mehra,8.4
2362,The Shining ,Stanley Kubrick,8.4
3807,Psych             ,,8.4
58,WALL·E ,Andrew Stanton,8.4
1329,Baahubali: The Beginning ,S.S. Rajamouli,8.4
4155,Some Like It Hot ,Billy Wilder,8.3
1416,L.A. Confidential ,Curtis Hanson,8.3
3079,2001: A Space Odyssey ,Stanley Kubrick,8.3
4077,Judgment at Nuremberg ,Stanley Kramer,8.3
4069,The Apartment ,Billy Wilder,8.3
2223,Eternal Sunshine of the Spotless Mind ,Michel Gondry,8.3
4688,Hoop Dreams ,Steve James,8.3
588,Inglourious Basterds ,Quentin Tarantino,8.3
3668,The Sting ,George Roy Hill,8.3
1906,Scarface ,Brian De Palma,8.3
2829,Downfall ,Oliver Hirschbiegel,8.3
1039,Indiana Jones and the Last Crusade ,Steven Spielberg,8.3
3089,Good Will Hunting ,Gus Van Sant,8.3
4972,"Peace, Propaganda & the Promised Land ",Sut Jhally,8.3
2425,Raging Bull ,Martin Scorsese,8.3
4178,Singin' in the Rain ,Stanley Donen,8.3
4885,The Big Parade ,King Vidor,8.3
2866,Room ,Lenny Abrahamson,8.3
67,Up ,Pete Docter,8.3
1588,Toy Story ,John Lasseter,8.3
1947,Shaun the Sheep             ,,8.3
3117,Snatch ,Guy Ritchie,8.3
4286,No End in Sight ,Charles Ferguson,8.3
4535,Taxi Driver ,Martin Scorsese,8.3
4274,Inside Job ,Charles Ferguson,8.3
3643,Lake of Fire ,Tony Kaye,8.3
3903,The Great Escape ,John Sturges,8.3
4795,Monty Python and the Holy Grail ,Terry Gilliam,8.3
3017,Snatch ,Guy Ritchie,8.3
43,Toy Story 3 ,Lee Unkrich,8.3
2407,Amadeus ,Milos Forman,8.3
120,Batman Begins ,Christopher Nolan,8.3
4774,The Sound and the Shadow ,Justin Paul Miller,8.3
4033,The Hunt ,Thomas Vinterberg,8.3
3397,Preacher             ,,8.3
1133,The Returned             ,,8.3
2760,Unforgiven ,Clint Eastwood,8.3
543,Life             ,,8.3
2734,Metropolis ,Fritz Lang,8.3
78,Inside Out ,Pete Docter,8.3
4000,The Secret in Their Eyes ,Juan José Campanella,8.2
2250,Into the Wild ,Sean Penn,8.2
1359,The Thing ,John Carpenter,8.2
508,A Beautiful Mind ,Ron Howard,8.2
4458,"Lock, Stock and Two Smoking Barrels ",Guy Ritchie,8.2
3550,Incendies ,Denis Villeneuve,8.2
4585,The Act of Killing ,Joshua Oppenheimer,8.2
3970,Gone with the Wind ,Victor Fleming,8.2
4945,The Brain That Sings ,Amal Al-Agroobi,8.2
4050,Trainspotting ,Danny Boyle,8.2
4474,Rebecca ,Alfred Hitchcock,8.2
4824,It Happened One Night ,Frank Capra,8.2
2703,The Big Lebowski ,Joel Coen,8.2
308,The Wolf of Wall Street ,Martin Scorsese,8.2
920,Casino ,Martin Scorsese,8.2
2047,Howl's Moving Castle ,Hayao Miyazaki,8.2
1777,Blade Runner ,Ridley Scott,8.2
2551,Pan's Labyrinth ,Guillermo del Toro,8.2
1978,Warrior ,Gavin O'Connor,8.2
98,Godzilla Resurgence ,Hideaki Anno,8.2
204,Godzilla Resurgence ,Hideaki Anno,8.2
93,How to Train Your Dragon ,Dean DeBlois,8.2
3650,Emma             ,,8.2
4444,Growing Up Smith ,Frank Lotito,8.2
1754,Die Hard ,John McTiernan,8.2
4787,Rise of the Entrepreneur: The Search for a Better Way ,Joe Kenemore,8.2
3604,War & Peace             ,,8.2
1710,Trapped             ,,8.2
338,Finding Nemo ,Andrew Stanton,8.2
2629,The Deer Hunter ,Michael Cimino,8.2
4404,Mr. Smith Goes to Washington ,Frank Capra,8.2
27,Captain America: Civil War ,Anthony Russo,8.2
3713,The Elephant Man ,David Lynch,8.2
3490,Buffy the Vampire Slayer             ,,8.2
4803,Home Movies             ,,8.2
4066,The Bridge on the River Kwai ,David Lean,8.2
4809,Cries & Whispers ,Ingmar Bergman,8.2
4638,On the Waterfront ,Elia Kazan,8.2
1869,Gran Torino ,Clint Eastwood,8.2
960,V for Vendetta ,James McTeigue,8.2
4160,Lage Raho Munna Bhai ,Rajkumar Hirani,8.2
5001,The Last Waltz ,Martin Scorsese,8.2
4530,Rocky ,John G. Avildsen,8.1
4281,Strangers with Candy             ,,8.1
278,The Martian ,Ridley Scott,8.1
4289,In the Shadow of the Moon ,David Sington,8.1
4271,Touching the Void ,Kevin Macdonald,8.1
1578,The Grand Budapest Hotel ,Wes Anderson,8.1
4267,Amores Perros ,Alejandro G. Iñárritu,8.1
2590,Hachi: A Dog's Tale ,Lasse Hallström,8.1
3582,Platoon ,Oliver Stone,8.1
1084,Prisoners ,Denis Villeneuve,8.1
3048,Barry Lyndon ,Stanley Kubrick,8.1
2651,The Princess Bride ,Rob Reiner,8.1
2614,The Imitation Game ,Morten Tyldum,8.1
238,"Monsters, Inc. ",Pete Docter,8.1
4348,The Square ,Jehane Noujaim,8.1
1181,The Sixth Sense ,M. Night Shyamalan,8.1
2594,Lilyhammer             ,,8.1
1213,Sin City ,Frank Miller,8.1
3854,Donnie Darko ,Richard Kelly,8.1
3575,The Terminator ,James Cameron,8.1
1061,Solaris ,Andrei Tarkovsky,8.1
4838,Nothing But a Man ,Michael Roemer,8.1
2194,Spotlight ,Tom McCarthy,8.1
4461,The Celebration ,Thomas Vinterberg,8.1
3584,Butch Cassidy and the Sundance Kid ,George Roy Hill,8.1
1604,Million Dollar Baby ,Clint Eastwood,8.1
685,The Missing             ,,8.1
4920,Archaeology of a Woman ,Sharon Greytak,8.1
2480,Hotel Rwanda ,Terry George,8.1
4157,The Wizard of Oz ,Victor Fleming,8.1
4690,Destiny ,Joseph Kosinski,8.1
2088,Gandhi ,Richard Attenborough,8.1
4687,High Noon ,Fred Zinnemann,8.1
4682,The Conformist ,Bernardo Bertolucci,8.1
2830,The Sea Inside ,Alejandro Amenábar,8.1
812,Deadpool ,Tim Miller,8.1
3362,Stand by Me ,Rob Reiner,8.1
4912,Ordet ,Carl Theodor Dreyer,8.1
1911,There Will Be Blood ,Paul Thomas Anderson,8.1
4061,Cat on a Hot Tin Roof ,Richard Brooks,8.1
2870,Del 1 - Män som hatar kvinnor             ,Niels Arden Oplev,8.1
128,Mad Max: Fury Road ,George Miller,8.1
4041,The Man Who Shot Liberty Valance ,John Ford,8.1
855,Kill Bill: Vol. 1 ,Quentin Tarantino,8.1
4034,A Christmas Story ,Bob Clark,8.1
3969,Network ,Sidney Lumet,8.1
2755,Groundhog Day ,Harold Ramis,8.1
1373,Rush ,Ron Howard,8.1
3423,Akira ,Katsuhiro Ôtomo,8.1
1875,The Help ,Tate Taylor,8.1
95,Guardians of the Galaxy ,James Gunn,8.1
1885,No Country for Old Men ,Ethan Coen,8.1
4190,Before Sunrise ,Richard Linklater,8.1
794,The Avengers ,Joss Whedon,8.1
3553,Elite Squad ,José Padilha,8.1
183,The Bourne Ultimatum ,Paul Greengrass,8.1
205,Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,8.1
3881,Animal Kingdom             ,,8.1
2914,Tae Guk Gi: The Brotherhood of War ,Je-kyu Kang,8.1
697,Jurassic Park ,Steven Spielberg,8.1
3889,Annie Hall ,Woody Allen,8.1
17,The Avengers ,Joss Whedon,8.1
2174,12 Years a Slave ,Steve McQueen,8.1
715,Gone Girl ,David Fincher,8.1
4238,The Best Years of Our Lives ,William Wyler,8.1
719,The Truman Show ,Peter Weir,8.1
452,Shutter Island ,Martin Scorsese,8.1
4708,Woodstock ,Michael Wadleigh,8.1
179,The Revenant ,Alejandro G. Iñárritu,8.1
2835,Black Swan ,Darren Aronofsky,8.0
1868,Rain Man ,Barry Levinson,8.0
3741,Shaun of the Dead ,Edgar Wright,8.0
2916,The Exorcist ,William Friedkin,8.0
4664,Pandora's Box ,Georg Wilhelm Pabst,8.0
4716,Light from the Darkroom ,Lance McDaniel,8.0
2712,In Bruges ,Martin McDonagh,8.0
2700,Brazil ,Terry Gilliam,8.0
4476,The Lost Weekend ,Billy Wilder,8.0
1217,JFK ,Oliver Stone,8.0
1747,Aladdin ,Ron Clements,8.0
2739,The Return ,Andrey Zvyagintsev,8.0
391,Cinderella Man ,Ron Howard,8.0
2907,Dancer in the Dark ,Lars von Trier,8.0
349,The Incredibles ,Brad Bird,8.0
2802,The Diving Bell and the Butterfly ,Julian Schnabel,8.0
2917,Jaws ,Steven Spielberg,8.0
286,Casino Royale ,Martin Campbell,8.0
2944,Casino Royale ,Martin Campbell,8.0
3630,The Wild Bunch ,Sam Peckinpah,8.0
307,Blood Diamond ,Edward Zwick,8.0
3714,Dallas Buyers Club ,Jean-Marc Vallée,8.0
1782,Winged Migration ,Jacques Perrin,8.0
2937,Patton ,Franklin J. Schaffner,8.0
2898,True Romance ,Tony Scott,8.0
2723,Mulholland Drive ,David Lynch,8.0
2884,The Perks of Being a Wallflower ,Stephen Chbosky,8.0
911,Catch Me If You Can ,Steven Spielberg,8.0
3280,Fiddler on the Roof ,Norman Jewison,8.0
2356,Dances with Wolves ,Kevin Costner,8.0
2539,Dead Poets Society ,Peter Weir,8.0
4261,The Hustler ,Robert Rossen,8.0
3179,The Straight Story ,David Lynch,8.0
3887,Night of the Living Dead ,George A. Romero,8.0
2762,Slumdog Millionaire ,Danny Boyle,8.0
2058,Her ,Spike Jonze,8.0
1501,"Blood In, Blood Out ",Taylor Hackford,8.0
3821,Sling Blade ,Billy Bob Thornton,8.0
3287,Sicko ,Michael Moore,8.0
4884,Give Me Shelter ,Kristin Rizzo,8.0
4158,Young Frankenstein ,Mel Brooks,8.0
160,Star Trek ,J.J. Abrams,8.0
3344,My Name Is Khan ,Karan Johar,8.0
4897,A Fistful of Dollars ,Sergio Leone,8.0
4144,Central Station ,Walter Salles,8.0
3906,Boyhood ,Richard Linklater,8.0
3359,The Sound of Music ,Robert Wise,8.0
4096,Days of Heaven ,Terrence Malick,8.0
4914,The Man from Earth ,Richard Schenkman,8.0
4054,Bowling for Columbine ,Michael Moore,8.0
851,The Pursuit of Happyness ,Gabriele Muccino,8.0
4040,Rosemary's Baby ,Roman Polanski,8.0
119,Ratatouille ,Brad Bird,8.0
858,Kill Bill: Vol. 2 ,Quentin Tarantino,8.0
1374,Magnolia ,Paul Thomas Anderson,8.0
3992,In Cold Blood ,Richard Brooks,8.0
3429,Mr. Church ,Bruce Beresford,8.0
1334,Serenity ,Joss Whedon,8.0
4951,Night of the Living Dead ,George A. Romero,8.0
4266,Before Sunset ,Richard Linklater,8.0
3026,Doctor Zhivago ,David Lean,8.0
4810,Intolerance: Love's Struggle Throughout the Ages ,D.W. Griffith,8.0
2607,The King's Speech ,Tom Hooper,8.0
4358,A Streetcar Named Desire ,Elia Kazan,8.0
3456,Persepolis ,Vincent Paronnaud,8.0
1603,Mystic River ,Clint Eastwood,8.0
1601,District 9 ,Neill Blomkamp,8.0
47,X-Men: Days of Future Past ,Bryan Singer,8.0
1008,The Iron Giant ,Brad Bird,8.0
602,Big Fish ,Tim Burton,8.0
4387,You Can't Take It with You ,Frank Capra,8.0
4284,Waltz with Bashir ,Ari Folman,8.0
223,Life of Pi ,Ang Lee,8.0
4826,Tupac: Resurrection ,Lauren Lazin,8.0
2545,The Artist ,Michel Hazanavicius,8.0
3983,Midnight Cowboy ,John Schlesinger,7.9
845,Captain Phillips ,Paul Greengrass,7.9
3361,Little Miss Sunshine ,Jonathan Dayton,7.9
3084,Lovesick             ,,7.9
4082,Before Midnight ,Richard Linklater,7.9
4076,Elmer Gantry ,Richard Brooks,7.9
3029,The Fighter ,David O. Russell,7.9
3510,Veer-Zaara ,Yash Chopra,7.9
4415,Nine Queens ,Fabián Bielinsky,7.9
3080,E.T. the Extra-Terrestrial ,Steven Spielberg,7.9
3677,The Chorus ,Christophe Barratier,7.9
1713,Glory ,Edward Zwick,7.9
3680,Do the Right Thing ,Spike Lee,7.9
4640,"4 Months, 3 Weeks and 2 Days ",Cristian Mungiu,7.9
525,Children of Men ,Alfonso Cuarón,7.9
1884,The Untouchables ,Brian De Palma,7.9
927,Shrek ,Andrew Adamson,7.9
3968,A Man for All Seasons ,Fred Zinnemann,7.9
1871,Taken ,Pierre Morel,7.9
4396,The Conversation ,Francis Ford Coppola,7.9
3452,Crash ,Paul Haggis,7.9
3768,Moon ,Duncan Jones,7.9
2919,Ernest & Celestine ,Stéphane Aubier,7.9
3357,Nightcrawler ,Dan Gilroy,7.9
962,Unforgotten             ,,7.9
3174,Bones             ,,7.9
1748,Straight Outta Compton ,F. Gary Gray,7.9
3193,Crash ,Paul Haggis,7.9
706,The Hateful Eight ,Quentin Tarantino,7.9
3864,Lilya 4-Ever ,Lukas Moodysson,7.9
4304,Eureka             ,,7.9
716,The Bourne Identity ,Doug Liman,7.9
1171,Hero ,Yimou Zhang,7.9
3264,Amour ,Michael Haneke,7.9
3535,The Boondock Saints ,Troy Duffy,7.9
639,The Insider ,Michael Mann,7.9
1802,Limitless             ,,7.9
1807,The Blues Brothers ,John Landis,7.9
1735,Walk the Line ,James Mangold,7.9
4499,The Second Mother ,Anna Muylaert,7.9
4186,Hud ,Martin Ritt,7.9
1813,The Right Stuff ,Philip Kaufman,7.9
4174,Riding Giants ,Stacy Peralta,7.9
3329,Star Wars: The Clone Wars             ,,7.9
3657,The Train ,John Frankenheimer,7.9
788,Almost Famous ,Cameron Crowe,7.9
2863,Letters from Iwo Jima ,Clint Eastwood,7.9
1606,The Notebook ,Nick Cassavetes,7.9
4554,"Food, Inc. ",Robert Kenner,7.9
4115,BrainDead             ,,7.9
3595,The Wrestler ,Darren Aronofsky,7.9
0,Avatar ,James Cameron,7.9
2727,The Company             ,,7.9
2493,Hero ,Yimou Zhang,7.9
4992,Bending Steel ,Dave Carroll,7.9
23,The Hobbit: The Desolation of Smaug ,Peter Jackson,7.9
2449,Ed Wood ,Tim Burton,7.9
89,Big Hero 6 ,Don Hall,7.9
353,Toy Story 2 ,John Lasseter,7.9
2487,My Fair Lady ,George Cukor,7.9
2492,Halloween ,John Carpenter,7.9
4821,Halloween ,John Carpenter,7.9
2558,Hot Fuzz ,Edgar Wright,7.9
69,Iron Man ,Jon Favreau,7.9
2667,Boogie Nights ,Paul Thomas Anderson,7.9
2619,Halloween ,John Carpenter,7.9
2605,"Crouching Tiger, Hidden Dragon ",Ang Lee,7.9
2177,Edward Scissorhands ,Tim Burton,7.9
4931,Once ,John Carney,7.9
2418,Glory ,Edward Zwick,7.9
2666,The Remains of the Day ,James Ivory,7.9
162,How to Train Your Dragon 2 ,Dean DeBlois,7.9
75,Edge of Tomorrow ,Doug Liman,7.9
1993,The World's Fastest Indian ,Roger Donaldson,7.9
99,The Hobbit: An Unexpected Journey ,Peter Jackson,7.9
4079,Robot Chicken             ,,7.8
4481,How Green Was My Valley ,John Ford,7.8
4080,Red River ,Howard Hawks,7.8
4088,Water ,Deepa Mehta,7.8
1196,The Conjuring 2 ,James Wan,7.8
2454,Hamlet ,Kenneth Branagh,7.8
4102,Happiness ,Todd Solondz,7.8
2460,The White Ribbon ,Michael Haneke,7.8
2611,The Color Purple ,Steven Spielberg,7.8
4093,Willy Wonka & the Chocolate Factory ,Mel Stuart,7.8
2959,Nebraska ,Alexander Payne,7.8
2973,About Time ,Richard Curtis,7.8
1056,Earth ,Deepa Mehta,7.8
2133,South Park: Bigger Longer & Uncut ,Trey Parker,7.8
2414,Birdman or (The Unexpected Virtue of Ignorance) ,Alejandro G. Iñárritu,7.8
1756,The Big Short ,Adam McKay,7.8
1393,Gattaca ,Andrew Niccol,7.8
1397,The Hangover ,Todd Phillips,7.8
4047,Goldfinger ,Guy Hamilton,7.8
504,Oceans ,Jacques Perrin,7.8
2119,Joyeux Noel ,Christian Carion,7.8
2653,Drive ,Nicolas Winding Refn,7.8
2118,Black Book ,Paul Verhoeven,7.8
4493,Lucky Number Slevin ,Paul McGuigan,7.8
3624,Hedwig and the Angry Inch ,John Cameron Mitchell,7.8
516,The Little Prince ,Mark Osborne,7.8
2947,The Fault in Our Stars ,Josh Boone,7.8
3373,Kicks ,Justin Tipping,7.8
290,American Gangster ,Ridley Scott,7.8
1188,Back to the Future Part II ,Robert Zemeckis,7.8
975,The Game ,David Fincher,7.8
4168,Blazing Saddles ,Mel Brooks,7.8
3556,Boyz n the Hood ,John Singleton,7.8
195,Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,7.8
4880,UnDivided ,Sam Martin,7.8
4225,Fantasia ,James Algar,7.8
1592,Remember the Titans ,Boaz Yakin,7.8
4226,The French Connection ,William Friedkin,7.8
4318,Gangster's Paradise: Jerusalema ,Ralph Ziman,7.8
48,Star Trek Into Darkness ,J.J. Abrams,7.8
3586,Ordinary People ,Robert Redford,7.8
3585,Mary Poppins ,Robert Stevenson,7.8
1436,Donnie Brasco ,Mike Newell,7.8
2547,Moonrise Kingdom ,Wes Anderson,7.8
2542,The Verdict ,Sidney Lumet,7.8
4282,Hamlet ,Kenneth Branagh,7.8
3835,Dear Frankie ,Shona Auerbach,7.8
5008,Clerks ,Kevin Smith,7.8
3161,Office Space ,Mike Judge,7.8
1236,Apocalypto ,Mel Gibson,7.8
3101,The Longest Day ,Ken Annakin,7.8
3856,Character ,Mike van Diem,7.8
4816,Murderball ,Henry Alex Rubin,7.8
4353,Man on Wire ,James Marsh,7.8
1052,3:10 to Yuma ,James Mangold,7.8
3888,Lost in Translation ,Sofia Coppola,7.8
1211,The Last of the Mohicans ,Michael Mann,7.8
4171,Maurice ,James Ivory,7.8
1638,Atonement ,Joe Wright,7.8
767,The Lego Movie ,Phil Lord,7.8
2180,The French Connection ,William Friedkin,7.8
3058,What's Eating Gilbert Grape ,Lasse Hallström,7.8
30,Skyfall ,Sam Mendes,7.8
4388,From Here to Eternity ,Fred Zinnemann,7.8
4385,The Lunchbox ,Ritesh Batra,7.8
994,A Touch of Frost             ,,7.8
4375,Run Lola Run ,Tom Tykwer,7.8
246,Gravity ,Alfonso Cuarón,7.8
2004,The Best Offer ,Giuseppe Tornatore,7.8
1295,Fantastic Mr. Fox ,Wes Anderson,7.8
4263,The Triplets of Belleville ,Sylvain Chomet,7.8
101,The Curious Case of Benjamin Button ,David Fincher,7.8
4706,Top Hat ,Mark Sandrich,7.8
3989,Empire             ,,7.8
364,The Girl with the Dragon Tattoo ,David Fincher,7.8
2906,The Boy in the Striped Pajamas ,Mark Herman,7.8
398,The Bourne Supremacy ,Paul Greengrass,7.8
400,Ocean's Eleven ,Steven Soderbergh,7.8
90,Wreck-It Ralph ,Rich Moore,7.8
1346,3rd Rock from the Sun             ,,7.8
79,The Jungle Book ,Jon Favreau,7.8
2904,The Prisoner of Zenda ,John Cromwell,7.8
5036,The Mongol King ,Anthony Vallone,7.8
7,Tangled ,Nathan Greno,7.8
2900,Glengarry Glen Ross ,James Foley,7.8
3493,Skyfall ,Sam Mendes,7.8
2137,Silver Linings Playbook ,David O. Russell,7.8
2256,Kung Fu Hustle ,Stephen Chow,7.8
1908,The Last Emperor ,Bernardo Bertolucci,7.8
2384,Indignation ,James Schamus,7.8
1138,The Fugitive ,Andrew Davis,7.8
1846,"O Brother, Where Art Thou? ",Joel Coen,7.8
877,Changeling ,Clint Eastwood,7.8
422,All That Jazz ,Bob Fosse,7.8
1805,The Jungle Book ,Jon Favreau,7.8
1898,Finding Neverland ,Marc Forster,7.8
3985,Airplane! ,Jim Abrahams,7.8
1892,Tombstone ,George P. Cosmatos,7.8
2406,Predator ,John McTiernan,7.8
4003,Evil Dead II ,Sam Raimi,7.8
1812,Lucky Number Slevin ,Paul McGuigan,7.8
86,Captain America: The Winter Soldier ,Anthony Russo,7.8
2859,Being John Malkovich ,Spike Jonze,7.8
3960,Hell's Angels ,Howard Hughes,7.8
1776,Pride & Prejudice ,Joe Wright,7.8
102,X-Men: First Class ,Matthew Vaughn,7.8
610,Stardust ,Matthew Vaughn,7.7
4781,Bloody Sunday ,Paul Greengrass,7.7
1627,Midnight in Paris ,Woody Allen,7.7
3607,The Last King of Scotland ,Kevin Macdonald,7.7
3943,"Buen Día, Ramón ",Jorge Ramírez Suárez,7.7
893,Seven Pounds ,Gabriele Muccino,7.7
1137,Argo ,Ben Affleck,7.7
2466,Carlos             ,,7.7
3309,The Wailing ,Hong-jin Na,7.7
2386,Adaptation. ,Spike Jonze,7.7
1816,Dark City ,Alex Proyas,7.7
3565,Nowhere in Africa ,Caroline Link,7.7
1212,Ray ,Taylor Hackford,7.7
3574,Control ,Anton Corbijn,7.7
3060,Vera Drake ,Mike Leigh,7.7
3059,The Visual Bible: The Gospel of John ,Philip Saville,7.7
165,Watchmen ,Zack Snyder,7.7
4786,42nd Street ,Lloyd Bacon,7.7
4794,Dogtown and Z-Boys ,Stacy Peralta,7.7
2858,Ex Machina ,Alex Garland,7.7
2849,The Butterfly Effect ,Eric Bress,7.7
3296,Henry V ,Kenneth Branagh,7.7
2819,Brokeback Mountain ,Ang Lee,7.7
4675,Iraq for Sale: The War Profiteers ,Robert Greenwald,7.7
4798,Heroes             ,,7.7
2048,Zombieland ,Ruben Fleischer,7.7
709,300 ,Zack Snyder,7.7
3468,500 Days of Summer ,Marc Webb,7.7
3847,Secrets and Lies             ,,7.7
1230,The Count of Monte Cristo ,Kevin Reynolds,7.7
2777,Dangerous Liaisons ,Stephen Frears,7.7
3139,Rushmore ,Wes Anderson,7.7
4835,Pierrot le Fou ,Jean-Luc Godard,7.7
2154,Close Encounters of the Third Kind ,Steven Spielberg,7.7
2772,First Blood ,Ted Kotcheff,7.7
4256,Lolita ,Stanley Kubrick,7.7
3846,25th Hour ,Spike Lee,7.7
2535,Sense and Sensibility ,Ang Lee,7.7
3178,The Red Violin ,François Girard,7.7
3689,A Room for Romeo Brass ,Shane Meadows,7.7
932,As Good as It Gets ,James L. Brooks,7.7
2389,Fear and Loathing in Las Vegas ,Terry Gilliam,7.7
1517,Ponyo ,Hayao Miyazaki,7.7
633,Despicable Me ,Pierre Coffin,7.7
746,Man on Fire ,Tony Scott,7.7
4199,Religulous ,Larry Charles,7.7
744,Coraline ,Henry Selick,7.7
5038,Signed Sealed Delivered ,Scott Smith,7.7
434,Zodiac ,David Fincher,7.7
4216,This Is England ,Shane Meadows,7.7
3859,Lady Vengeance ,Chan-wook Park,7.7
2572,Philadelphia ,Jonathan Demme,7.7
3576,Good Bye Lenin! ,Wolfgang Becker,7.7
2818,Flipped ,Rob Reiner,7.7
3949,Mondays in the Sun ,Fernando León de Aranoa,7.7
4328,The Lady from Shanghai ,Orson Welles,7.7
2016,Dangerous Liaisons ,Stephen Frears,7.7
396,Cast Away ,Robert Zemeckis,7.7
158,The Last Samurai ,Edward Zwick,7.7
4719,A Hard Day's Night ,Richard Lester,7.7
2641,The Theory of Everything ,James Marsh,7.7
4586,Taxi to the Dark Side ,Alex Gibney,7.7
4915,The Trials of Darryl Hunt ,Ricki Stern,7.7
4759,Crazy Stone ,Hao Ning,7.7
1772,Kick-Ass ,Matthew Vaughn,7.7
3419,Wuthering Heights             ,,7.7
