,Construction,使用年长,Type,Height (feet),Length (feet),Number of Inversions,Drop (feet),G Force,Vertical Angle (degrees),Speed,Time
189,Steel,22.0,0.0,73.0,2400.0,0.0,67.0,4.0,50.0,35.0,144
191,Steel,25.0,0.0,75.0,2500.0,0.0,64.0,4.0,50.0,55.0,130.0
193,Steel,32.0,7.0,76.0,2800.0,0.0,80.0,4.0,54.0,40.0,120
196,Steel,26.0,7.0,78.0,2352.0,0.0,80.0,4.0,90.0,51.0,112
201,Steel,30.0,0.0,83.7,3024.8,0.0,80.0,4.0,54.0,37.3,198
203,Steel,23.0,0.0,85.3,4199.5,0.0,80.0,3.0,50.0,31.1,175
205,Steel,24.0,0.0,90.0,2600.0,0.0,80.0,4.0,54.0,50.0,116
214,Steel,15.0,0.0,98.4,229.7,0.0,98.0,4.5,120.0,43.5,120
215,Steel,14.0,0.0,98.4,1279.5,0.0,98.0,3.0,68.0,49.7,200
217,Steel,3.0,0.0,98.4,4330.8,0.0,98.0,4.0,95.0,72.7,100.0
223,Steel,11.0,0.0,101.7,2477.0,0.0,98.4,3.0,67.4,52.8,60
224,Steel,11.0,0.0,101.7,2477.0,0.0,98.4,3.0,70.0,52.8,61
226,Steel,40.0,0.0,104.0,2671.0,0.0,90.0,4.0,54.0,28.0,180
227,Steel,28.0,0.0,107.0,7442.0,0.0,108.0,3.0,50.0,50.0,175.0
228,Steel,5.0,0.0,108.3,2358.9,0.0,98.0,4.3,78.0,51.6,100.0
239,Steel,41.0,0.0,125.3,3935.0,0.0,118.0,3.0,52.0,60.0,140
242,Steel,21.0,0.0,131.3,5457.7,0.0,205.0,5.0,65.0,60.9,236
246,Steel,20.0,0.0,150.0,3700.0,0.0,150.0,3.5,60.0,65.0,100
247,Steel,18.0,0.0,150.0,630.0,0.0,180.0,5.0,90.0,65.0,50.0
248,Steel,8.0,0.0,153.0,4200.0,0.0,147.0,4.0,79.0,68.6,120
250,Steel,28.0,0.0,160.0,3200.0,0.0,228.0,4.0,90.0,85.0,117
252,Steel,20.0,0.0,170.0,4882.0,0.0,210.0,4.1,65.0,73.0,135
253,Steel,8.0,0.0,170.6,2788.8,0.0,196.8,5.0,90.0,83.0,150.0
254,Steel,9.0,0.0,170.6,6561.7,0.0,225.0,4.0,80.0,149.1,130.0
255,Steel,18.0,0.0,173.9,4002.6,0.0,215.0,4.5,82.0,74.6,75
258,Steel,16.0,1.0,185.0,630.0,0.0,175.0,5.0,90.0,68.0,50.0
259,Steel,18.0,1.0,185.0,630.0,0.0,175.0,5.0,90.0,70.0,50.0
260,Steel,7.0,0.0,196.8,2910.0,0.0,221.2,5.2,90.0,83.0,150.0
262,Steel,19.0,0.0,197.0,5350.0,0.0,205.0,5.0,68.0,73.0,130
263,Steel,13.0,0.0,200.0,4480.0,0.0,175.0,4.0,90.0,70.0,75.0
265,Steel,7.0,0.0,200.0,3600.0,0.0,221.0,4.0,85.0,75.0,112.0
266,Steel,22.0,0.0,200.0,5600.0,0.0,205.0,3.0,65.0,75.0,180
267,Steel,20.0,0.0,202.0,5057.0,0.0,208.0,5.0,65.0,73.0,150
268,Steel,21.0,0.0,205.0,5600.0,0.0,205.0,3.5,65.0,75.0,180
269,Steel,30.0,0.0,205.0,5106.0,0.0,194.7,3.0,60.0,72.0,120
270,Steel,13.0,0.0,205.1,1312.3,0.0,177.0,5.0,90.0,80.0,92.0
272,Steel,23.0,0.0,207.0,5460.0,0.0,196.0,3.0,65.0,74.0,180
273,Steel,20.0,0.0,208.0,5400.0,0.0,205.0,5.0,68.0,73.0,122
274,Steel,19.0,0.0,208.0,5400.0,0.0,221.0,4.0,68.0,77.0,155
275,Steel,14.0,0.0,209.0,5843.0,0.0,225.0,4.0,60.0,80.0,163
276,Steel,25.0,0.0,213.0,5497.0,0.0,205.0,3.5,65.0,74.0,180
277,Steel,17.0,1.0,215.0,215.0,0.0,206.0,5.0,90.0,72.0,120.0
278,Steel,15.0,0.0,219.8,5577.4,0.0,205.0,5.0,65.0,74.6,184
279,Steel,11.0,0.0,230.0,5318.0,0.0,215.0,4.0,75.0,77.0,213.0
280,Steel,18.0,0.0,230.0,5394.0,0.0,215.0,4.0,68.0,80.0,140
281,Steel,10.0,0.0,230.0,5282.0,0.0,215.0,4.0,75.0,80.0,180
282,Steel,9.0,0.0,232.0,5316.0,0.0,211.0,4.0,74.0,75.0,213
283,Steel,19.0,0.0,235.0,4500.0,0.0,255.0,4.0,61.0,85.0,180
284,Steel,17.0,0.0,239.5,5315.0,0.0,219.8,4.0,68.5,78.9,240
285,Steel,3.0,0.0,242.8,5105.0,0.0,255.9,3.0,85.0,84.5,252
286,Steel,18.0,0.0,245.0,5312.0,0.0,255.0,4.0,61.0,85.0,210
287,Steel,7.0,0.0,249.3,5131.3,0.0,255.9,3.8,85.0,83.3,180
288,Steel,23.0,0.0,259.2,6708.7,0.0,229.7,3.5,65.0,80.8,216
289,Steel,16.0,0.0,262.5,3500.0,0.0,218.2,3.0,80.0,80.8,90
290,Steel,9.0,0.0,305.0,5100.0,0.0,300.0,3.0,85.0,90.0,180
291,Steel,7.0,0.0,306.0,5486.0,0.0,306.0,4.0,80.0,92.0,208
292,Steel,19.0,0.0,310.0,6595.0,0.0,300.0,4.0,80.0,93.0,140
294,Steel,4.0,0.0,325.0,6602.0,0.0,320.0,4.0,81.0,95.0,208.0
295,Steel,2.0,0.0,367.3,2887.2,0.0,400.0,5.0,90.0,111.8,30.0
296,Steel,22.0,0.0,377.3,1235.0,0.0,328.1,4.5,90.0,100.0,28
297,Steel,22.0,0.0,415.0,1235.0,0.0,328.1,4.5,90.0,100.0,28
298,Steel,16.0,0.0,420.0,2800.0,0.0,400.0,4.0,90.0,120.0,30
299,Steel,14.0,0.0,456.0,3118.0,0.0,418.0,5.0,90.0,128.0,28
