,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState,lat,lon,Rat
81,2010,OH,CUYAHOGA,39,35,39035,Methorphan,2,3556,70999,41.43333,-81.66667,0.050085212467781234
82,2010,OH,CUYAHOGA,39,35,39035,Oxycodone,251,3556,70999,41.43333,-81.66667,0.050085212467781234
83,2010,OH,CUYAHOGA,39,35,39035,Oxymorphone,4,3556,70999,41.43333,-81.66667,0.050085212467781234
87,2010,OH,DEFIANCE,39,39,39039,Buprenorphine,2,589,70999,41.33333,-84.45,0.008295891491429458
88,2010,OH,DEFIANCE,39,39,39039,Hydrocodone,9,589,70999,41.33333,-84.45,0.008295891491429458
89,2010,OH,DELAWARE,39,41,39041,Hydromorphone,1,1774,70999,40.26667,-83.00028,0.024986267412217072
94,2010,OH,ERIE,39,43,39043,Buprenorphine,5,552,70999,41.35,-82.6,0.007774757390949168
95,2010,OH,ERIE,39,43,39043,Propoxyphene,1,552,70999,41.35,-82.6,0.007774757390949168
109,2010,OH,ALLEN,39,3,39003,Oxycodone,51,580,70999,40.76667,-84.08333,0.008169129142663982
113,2010,OH,ASHLAND,39,5,39005,Codeine,1,766,70999,40.81667,-82.26666999999999,0.010788884350483809
114,2010,OH,AUGLAIZE,39,11,39011,Hydrocodone,4,184,70999,40.55,-84.25028,0.002591585796983056
124,2010,OH,BELMONT,39,13,39013,Codeine,1,231,70999,40.00028,-80.96667,0.003253566951647206
137,2010,OH,BROWN,39,15,39015,Morphine,5,213,70999,38.93333,-83.86667,0.003000042254116255
152,2010,OH,CHAMPAIGN,39,21,39021,Hydrocodone,17,214,70999,40.13333,-83.76666999999999,0.003014126959534641
162,2010,OH,CLERMONT,39,25,39025,Codeine,2,752,70999,39.05,-84.15,0.010591698474626403
164,2010,OH,CLINTON,39,27,39027,Fentanyl,2,455,70999,39.4,-83.81667,0.006408540965365709
165,2010,OH,CLINTON,39,27,39027,Morphine,5,455,70999,39.4,-83.81667,0.006408540965365709
170,2010,OH,COSHOCTON,39,31,39031,Oxycodone,2,75,70999,40.3,-81.91667,0.0010563529063789632
178,2010,OH,CUYAHOGA,39,35,39035,Buprenorphine,36,3556,70999,41.43333,-81.66667,0.050085212467781234
179,2010,OH,DARKE,39,37,39037,Morphine,2,156,70999,40.13333,-84.61667,0.002197214045268243
184,2010,OH,DELAWARE,39,41,39041,Morphine,4,1774,70999,40.26667,-83.00028,0.024986267412217072
190,2010,OH,ERIE,39,43,39043,Hydrocodone,19,552,70999,41.35,-82.6,0.007774757390949168
191,2010,OH,ERIE,39,43,39043,Oxycodone,40,552,70999,41.35,-82.6,0.007774757390949168
192,2010,OH,ERIE,39,43,39043,Oxymorphone,4,552,70999,41.35,-82.6,0.007774757390949168
199,2010,OH,FAIRFIELD,39,45,39045,Heroin,186,846,70999,39.75028,-82.6,0.011915660783954703
206,2010,OH,ALLEN,39,3,39003,Fentanyl,1,580,70999,40.76667,-84.08333,0.008169129142663982
207,2010,OH,ALLEN,39,3,39003,Propoxyphene,2,580,70999,40.76667,-84.08333,0.008169129142663982
215,2010,OH,ATHENS,39,9,39009,Morphine,4,664,70999,39.35,-82.05,0.009352244397808419
222,2010,OH,BELMONT,39,13,39013,Oxycodone,19,231,70999,40.00028,-80.96667,0.003253566951647206
245,2010,OH,BUTLER,39,17,39017,Methadone,17,1825,70999,39.45,-84.56667,0.02570458738855477
251,2010,OH,CARROLL,39,19,39019,Buprenorphine,1,57,70999,40.56667,-81.08333,0.0008028282088480119
255,2010,OH,CHAMPAIGN,39,21,39021,Fentanyl,1,214,70999,40.13333,-83.76666999999999,0.003014126959534641
256,2010,OH,CHAMPAIGN,39,21,39021,Heroin,37,214,70999,40.13333,-83.76666999999999,0.003014126959534641
272,2010,OH,CLERMONT,39,25,39025,Fentanyl,1,752,70999,39.05,-84.15,0.010591698474626403
273,2010,OH,CLERMONT,39,25,39025,Heroin,167,752,70999,39.05,-84.15,0.010591698474626403
274,2010,OH,CLINTON,39,27,39027,Buprenorphine,7,455,70999,39.4,-83.81667,0.006408540965365709
275,2010,OH,CLINTON,39,27,39027,Hydrocodone,17,455,70999,39.4,-83.81667,0.006408540965365709
277,2010,OH,COLUMBIANA,39,29,39029,Buprenorphine,2,341,70999,40.75028,-80.75028,0.004802884547669685
278,2010,OH,COLUMBIANA,39,29,39029,Morphine,2,341,70999,40.75028,-80.75028,0.004802884547669685
281,2010,OH,CRAWFORD,39,33,39033,Heroin,48,218,70999,40.85,-82.91667,0.003070465781208186
282,2010,OH,CRAWFORD,39,33,39033,Propoxyphene,2,218,70999,40.85,-82.91667,0.003070465781208186
286,2010,OH,CUYAHOGA,39,35,39035,Codeine,12,3556,70999,41.43333,-81.66667,0.050085212467781234
287,2010,OH,CUYAHOGA,39,35,39035,Morphine,21,3556,70999,41.43333,-81.66667,0.050085212467781234
288,2010,OH,DEFIANCE,39,39,39039,Methadone,2,589,70999,41.33333,-84.45,0.008295891491429458
289,2010,OH,DELAWARE,39,41,39041,Oxycodone,82,1774,70999,40.26667,-83.00028,0.024986267412217072
301,2010,OH,ADAMS,39,1,39001,Buprenorphine,6,527,70999,38.85,-83.46667,0.007422639755489514
302,2010,OH,ADAMS,39,1,39001,Heroin,50,527,70999,38.85,-83.46667,0.007422639755489514
303,2010,OH,ADAMS,39,1,39001,Tramadol,1,527,70999,38.85,-83.46667,0.007422639755489514
313,2010,OH,ASHLAND,39,5,39005,Heroin,82,766,70999,40.81667,-82.26666999999999,0.010788884350483809
314,2010,OH,ASHLAND,39,5,39005,Methadone,2,766,70999,40.81667,-82.26666999999999,0.010788884350483809
315,2010,OH,ASHTABULA,39,7,39007,Codeine,3,571,70999,41.7,-80.76666999999999,0.008042366793898506
316,2010,OH,ASHTABULA,39,7,39007,Morphine,3,571,70999,41.7,-80.76666999999999,0.008042366793898506
317,2010,OH,ATHENS,39,9,39009,Oxycodone,122,664,70999,39.35,-82.05,0.009352244397808419
318,2010,OH,ATHENS,39,9,39009,Oxymorphone,3,664,70999,39.35,-82.05,0.009352244397808419
319,2010,OH,AUGLAIZE,39,11,39011,Oxycodone,6,184,70999,40.55,-84.25028,0.002591585796983056
344,2010,OH,BROWN,39,15,39015,Oxycodone,35,213,70999,38.93333,-83.86667,0.003000042254116255
345,2010,OH,BROWN,39,15,39015,Oxymorphone,2,213,70999,38.93333,-83.86667,0.003000042254116255
351,2010,OH,BUTLER,39,17,39017,Codeine,3,1825,70999,39.45,-84.56667,0.02570458738855477
352,2010,OH,BUTLER,39,17,39017,Morphine,15,1825,70999,39.45,-84.56667,0.02570458738855477
365,2010,OH,CHAMPAIGN,39,21,39021,Morphine,4,214,70999,40.13333,-83.76666999999999,0.003014126959534641
371,2010,OH,CLARK,39,23,39023,Hydrocodone,3,186,70999,39.91667,-83.76666999999999,0.0026197552078198283
372,2010,OH,CLARK,39,23,39023,Oxycodone,3,186,70999,39.91667,-83.76666999999999,0.0026197552078198283
379,2010,OH,COSHOCTON,39,31,39031,Hydrocodone,2,75,70999,40.3,-81.91667,0.0010563529063789632
380,2010,OH,COSHOCTON,39,31,39031,Morphine,4,75,70999,40.3,-81.91667,0.0010563529063789632
382,2010,OH,CRAWFORD,39,33,39033,Buprenorphine,2,218,70999,40.85,-82.91667,0.003070465781208186
387,2010,OH,CUYAHOGA,39,35,39035,Fentanyl,1,3556,70999,41.43333,-81.66667,0.050085212467781234
388,2010,OH,CUYAHOGA,39,35,39035,Heroin,462,3556,70999,41.43333,-81.66667,0.050085212467781234
389,2010,OH,CUYAHOGA,39,35,39035,Propoxyphene,7,3556,70999,41.43333,-81.66667,0.050085212467781234
391,2010,OH,DARKE,39,37,39037,Buprenorphine,2,156,70999,40.13333,-84.61667,0.002197214045268243
392,2010,OH,DARKE,39,37,39037,Hydrocodone,2,156,70999,40.13333,-84.61667,0.002197214045268243
393,2010,OH,DARKE,39,37,39037,Propoxyphene,1,156,70999,40.13333,-84.61667,0.002197214045268243
397,2010,OH,DEFIANCE,39,39,39039,Codeine,12,589,70999,41.33333,-84.45,0.008295891491429458
407,2010,OH,ALLEN,39,3,39003,Heroin,43,580,70999,40.76667,-84.08333,0.008169129142663982
408,2010,OH,ALLEN,39,3,39003,Methadone,2,580,70999,40.76667,-84.08333,0.008169129142663982
413,2010,OH,ASHLAND,39,5,39005,Hydrocodone,13,766,70999,40.81667,-82.26666999999999,0.010788884350483809
414,2010,OH,ASHLAND,39,5,39005,Tramadol,8,766,70999,40.81667,-82.26666999999999,0.010788884350483809
415,2010,OH,ASHTABULA,39,7,39007,Methadone,1,571,70999,41.7,-80.76666999999999,0.008042366793898506
416,2010,OH,ATHENS,39,9,39009,Buprenorphine,14,664,70999,39.35,-82.05,0.009352244397808419
423,2010,OH,BELMONT,39,13,39013,Propoxyphene,2,231,70999,40.00028,-80.96667,0.003253566951647206
440,2010,OH,BROWN,39,15,39015,Buprenorphine,2,213,70999,38.93333,-83.86667,0.003000042254116255
441,2010,OH,BROWN,39,15,39015,Propoxyphene,1,213,70999,38.93333,-83.86667,0.003000042254116255
449,2010,OH,BUTLER,39,17,39017,Hydromorphone,2,1825,70999,39.45,-84.56667,0.02570458738855477
461,2010,OH,CARROLL,39,19,39019,Hydrocodone,8,57,70999,40.56667,-81.08333,0.0008028282088480119
473,2010,OH,CLARK,39,23,39023,Buprenorphine,1,186,70999,39.91667,-83.76666999999999,0.0026197552078198283
476,2010,OH,CLERMONT,39,25,39025,Hydrocodone,52,752,70999,39.05,-84.15,0.010591698474626403
482,2010,OH,COLUMBIANA,39,29,39029,Oxycodone,11,341,70999,40.75028,-80.75028,0.004802884547669685
483,2010,OH,COLUMBIANA,39,29,39029,Oxymorphone,2,341,70999,40.75028,-80.75028,0.004802884547669685
491,2010,OH,DEFIANCE,39,39,39039,Fentanyl,1,589,70999,41.33333,-84.45,0.008295891491429458
492,2010,OH,DEFIANCE,39,39,39039,Morphine,15,589,70999,41.33333,-84.45,0.008295891491429458
493,2010,OH,DELAWARE,39,41,39041,Buprenorphine,13,1774,70999,40.26667,-83.00028,0.024986267412217072
494,2010,OH,DELAWARE,39,41,39041,Propoxyphene,4,1774,70999,40.26667,-83.00028,0.024986267412217072
500,2010,OH,ERIE,39,43,39043,Heroin,30,552,70999,41.35,-82.6,0.007774757390949168
501,2010,OH,ADAMS,39,1,39001,Codeine,3,527,70999,38.85,-83.46667,0.007422639755489514
502,2010,OH,ADAMS,39,1,39001,Hydrocodone,59,527,70999,38.85,-83.46667,0.007422639755489514
503,2010,OH,ADAMS,39,1,39001,Methadone,12,527,70999,38.85,-83.46667,0.007422639755489514
514,2010,OH,ALLEN,39,3,39003,Hydromorphone,15,580,70999,40.76667,-84.08333,0.008169129142663982
517,2010,OH,ASHLAND,39,5,39005,Buprenorphine,12,766,70999,40.81667,-82.26666999999999,0.010788884350483809
518,2010,OH,ASHLAND,39,5,39005,Morphine,6,766,70999,40.81667,-82.26666999999999,0.010788884350483809
519,2010,OH,ASHTABULA,39,7,39007,Heroin,26,571,70999,41.7,-80.76666999999999,0.008042366793898506
520,2010,OH,ASHTABULA,39,7,39007,Propoxyphene,1,571,70999,41.7,-80.76666999999999,0.008042366793898506
521,2010,OH,ATHENS,39,9,39009,Hydrocodone,40,664,70999,39.35,-82.05,0.009352244397808419
522,2010,OH,ATHENS,39,9,39009,Methadone,9,664,70999,39.35,-82.05,0.009352244397808419
541,2010,OH,BROWN,39,15,39015,Codeine,1,213,70999,38.93333,-83.86667,0.003000042254116255
542,2010,OH,BROWN,39,15,39015,Hydrocodone,21,213,70999,38.93333,-83.86667,0.003000042254116255
546,2010,OH,BUTLER,39,17,39017,Oxycodone,127,1825,70999,39.45,-84.56667,0.02570458738855477
547,2010,OH,BUTLER,39,17,39017,Oxymorphone,12,1825,70999,39.45,-84.56667,0.02570458738855477
569,2010,OH,CLARK,39,23,39023,Heroin,26,186,70999,39.91667,-83.76666999999999,0.0026197552078198283
571,2010,OH,CLERMONT,39,25,39025,Buprenorphine,19,752,70999,39.05,-84.15,0.010591698474626403
572,2010,OH,CLERMONT,39,25,39025,Morphine,4,752,70999,39.05,-84.15,0.010591698474626403
573,2010,OH,CLINTON,39,27,39027,Heroin,68,455,70999,39.4,-83.81667,0.006408540965365709
576,2010,OH,COLUMBIANA,39,29,39029,Hydrocodone,9,341,70999,40.75028,-80.75028,0.004802884547669685
577,2010,OH,CRAWFORD,39,33,39033,Hydrocodone,6,218,70999,40.85,-82.91667,0.003070465781208186
580,2010,OH,CUYAHOGA,39,35,39035,Hydrocodone,81,3556,70999,41.43333,-81.66667,0.050085212467781234
581,2010,OH,CUYAHOGA,39,35,39035,Methadone,13,3556,70999,41.43333,-81.66667,0.050085212467781234
583,2010,OH,DARKE,39,37,39037,Oxycodone,1,156,70999,40.13333,-84.61667,0.002197214045268243
587,2010,OH,DEFIANCE,39,39,39039,Oxycodone,31,589,70999,41.33333,-84.45,0.008295891491429458
588,2010,OH,DEFIANCE,39,39,39039,Oxymorphone,2,589,70999,41.33333,-84.45,0.008295891491429458
589,2010,OH,DELAWARE,39,41,39041,Opiates,2,1774,70999,40.26667,-83.00028,0.024986267412217072
593,2010,OH,ERIE,39,43,39043,Morphine,1,552,70999,41.35,-82.6,0.007774757390949168
595,2010,OH,FAIRFIELD,39,45,39045,Hydromorphone,1,846,70999,39.75028,-82.6,0.011915660783954703
596,2010,OH,FAIRFIELD,39,45,39045,Opiates,1,846,70999,39.75028,-82.6,0.011915660783954703
601,2010,OH,ADAMS,39,1,39001,Hydromorphone,4,527,70999,38.85,-83.46667,0.007422639755489514
602,2010,OH,ADAMS,39,1,39001,Meperidine,1,527,70999,38.85,-83.46667,0.007422639755489514
609,2010,OH,ALLEN,39,3,39003,Buprenorphine,1,580,70999,40.76667,-84.08333,0.008169129142663982
610,2010,OH,ALLEN,39,3,39003,Codeine,2,580,70999,40.76667,-84.08333,0.008169129142663982
611,2010,OH,ALLEN,39,3,39003,Hydrocodone,20,580,70999,40.76667,-84.08333,0.008169129142663982
612,2010,OH,ALLEN,39,3,39003,Morphine,3,580,70999,40.76667,-84.08333,0.008169129142663982
617,2010,OH,ATHENS,39,9,39009,Meperidine,2,664,70999,39.35,-82.05,0.009352244397808419
618,2010,OH,AUGLAIZE,39,11,39011,Morphine,7,184,70999,40.55,-84.25028,0.002591585796983056
629,2010,OH,BELMONT,39,13,39013,Fentanyl,2,231,70999,40.00028,-80.96667,0.003253566951647206
630,2010,OH,BELMONT,39,13,39013,Hydrocodone,10,231,70999,40.00028,-80.96667,0.003253566951647206
654,2010,OH,CHAMPAIGN,39,21,39021,Oxycodone,19,214,70999,40.13333,-83.76666999999999,0.003014126959534641
655,2010,OH,CHAMPAIGN,39,21,39021,Oxymorphone,1,214,70999,40.13333,-83.76666999999999,0.003014126959534641
663,2010,OH,CLERMONT,39,25,39025,Dextropropoxyphene,1,752,70999,39.05,-84.15,0.010591698474626403
664,2010,OH,CLERMONT,39,25,39025,Oxycodone,78,752,70999,39.05,-84.15,0.010591698474626403
665,2010,OH,CLERMONT,39,25,39025,Oxymorphone,5,752,70999,39.05,-84.15,0.010591698474626403
666,2010,OH,CLINTON,39,27,39027,Dextropropoxyphene,1,455,70999,39.4,-83.81667,0.006408540965365709
671,2010,OH,CRAWFORD,39,33,39033,Oxycodone,16,218,70999,40.85,-82.91667,0.003070465781208186
678,2010,OH,CUYAHOGA,39,35,39035,Hydromorphone,3,3556,70999,41.43333,-81.66667,0.050085212467781234
680,2010,OH,DELAWARE,39,41,39041,Heroin,1123,1774,70999,40.26667,-83.00028,0.024986267412217072
681,2010,OH,DELAWARE,39,41,39041,Methadone,10,1774,70999,40.26667,-83.00028,0.024986267412217072
687,2010,OH,ERIE,39,43,39043,Codeine,3,552,70999,41.35,-82.6,0.007774757390949168
694,2010,OH,FAIRFIELD,39,45,39045,Buprenorphine,16,846,70999,39.75028,-82.6,0.011915660783954703
695,2010,OH,FAIRFIELD,39,45,39045,Codeine,1,846,70999,39.75028,-82.6,0.011915660783954703
696,2010,OH,FAIRFIELD,39,45,39045,Hydrocodone,24,846,70999,39.75028,-82.6,0.011915660783954703
697,2010,OH,FAIRFIELD,39,45,39045,Morphine,3,846,70999,39.75028,-82.6,0.011915660783954703
702,2010,OH,ADAMS,39,1,39001,Oxycodone,119,527,70999,38.85,-83.46667,0.007422639755489514
703,2010,OH,ADAMS,39,1,39001,Oxymorphone,1,527,70999,38.85,-83.46667,0.007422639755489514
716,2010,OH,ASHTABULA,39,7,39007,Oxycodone,42,571,70999,41.7,-80.76666999999999,0.008042366793898506
727,2010,OH,BELMONT,39,13,39013,Buprenorphine,1,231,70999,40.00028,-80.96667,0.003253566951647206
728,2010,OH,BELMONT,39,13,39013,Morphine,3,231,70999,40.00028,-80.96667,0.003253566951647206
742,2010,OH,BROWN,39,15,39015,Methadone,4,213,70999,38.93333,-83.86667,0.003000042254116255
750,2010,OH,BUTLER,39,17,39017,Heroin,223,1825,70999,39.45,-84.56667,0.02570458738855477
760,2010,OH,CARROLL,39,19,39019,Propoxyphene,1,57,70999,40.56667,-81.08333,0.0008028282088480119
776,2010,OH,CLERMONT,39,25,39025,Tramadol,3,752,70999,39.05,-84.15,0.010591698474626403
778,2010,OH,CLINTON,39,27,39027,Oxycodone,33,455,70999,39.4,-83.81667,0.006408540965365709
779,2010,OH,COSHOCTON,39,31,39031,Tramadol,1,75,70999,40.3,-81.91667,0.0010563529063789632
780,2010,OH,CRAWFORD,39,33,39033,Methadone,4,218,70999,40.85,-82.91667,0.003070465781208186
786,2010,OH,DARKE,39,37,39037,Heroin,20,156,70999,40.13333,-84.61667,0.002197214045268243
787,2010,OH,DARKE,39,37,39037,Methadone,2,156,70999,40.13333,-84.61667,0.002197214045268243
791,2010,OH,DEFIANCE,39,39,39039,Heroin,24,589,70999,41.33333,-84.45,0.008295891491429458
792,2010,OH,DEFIANCE,39,39,39039,Propoxyphene,2,589,70999,41.33333,-84.45,0.008295891491429458
793,2010,OH,DELAWARE,39,41,39041,Codeine,3,1774,70999,40.26667,-83.00028,0.024986267412217072
794,2010,OH,DELAWARE,39,41,39041,Hydrocodone,22,1774,70999,40.26667,-83.00028,0.024986267412217072
795,2010,OH,DELAWARE,39,41,39041,Tramadol,1,1774,70999,40.26667,-83.00028,0.024986267412217072
802,2010,OH,FAIRFIELD,39,45,39045,Propoxyphene,2,846,70999,39.75028,-82.6,0.011915660783954703
807,2010,OH,FAYETTE,39,47,39047,Heroin,8,95,70999,39.55,-83.45,0.0013380470147466865
815,2010,OH,FRANKLIN,39,49,39049,Buprenorphine,29,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
823,2010,OH,GALLIA,39,53,39053,Hydrocodone,59,416,70999,38.81667,-82.33333,0.005859237454048648
824,2010,OH,GEAUGA,39,55,39055,Buprenorphine,3,114,70999,41.50056,-81.16667,0.0016056564176960238
825,2010,OH,GEAUGA,39,55,39055,Propoxyphene,1,114,70999,41.50056,-81.16667,0.0016056564176960238
838,2010,OH,GREENE,39,57,39057,Hydromorphone,1,964,70999,39.68333,-83.9,0.013577656023324272
839,2010,OH,GREENE,39,57,39057,Methadone,3,964,70999,39.68333,-83.9,0.013577656023324272
842,2010,OH,GUERNSEY,39,59,39059,Buprenorphine,6,316,70999,40.05,-81.51666999999999,0.004450766912210031
845,2010,OH,HAMILTON,39,61,39061,Heroin,1917,13780,70999,39.18333,-84.53333,0.19408724066536148
846,2010,OH,HAMILTON,39,61,39061,Methadone,68,13780,70999,39.18333,-84.53333,0.19408724066536148
848,2010,OH,HANCOCK,39,63,39063,Buprenorphine,5,573,70999,41.01667,-83.66667,0.008070536204735279
850,2010,OH,HARDIN,39,65,39065,Codeine,2,326,70999,40.65,-83.66667,0.0045916139663938925
859,2010,OH,HOLMES,39,75,39075,Oxycodone,5,129,70999,40.55,-81.9,0.0018169269989718165
864,2010,OH,HURON,39,77,39077,Heroin,38,240,70999,41.15,-82.55,0.0033803293004126818
866,2010,OH,JACKSON,39,79,39079,Propoxyphene,1,632,70999,39.03333,-82.61667,0.008901533824420061
872,2010,OH,JEFFERSON,39,81,39081,Hydrocodone,4,264,70999,40.36667,-80.75028,0.00371836223045395
873,2010,OH,JEFFERSON,39,81,39081,Oxycodone,16,264,70999,40.36667,-80.75028,0.00371836223045395
887,2010,OH,KNOX,39,83,39083,Morphine,2,31,70999,40.4,-82.37222,0.0004366258679699714
889,2010,OH,LAKE,39,85,39085,Tramadol,29,2726,70999,41.63333,-81.38333,0.03839490697052071
894,2010,OH,LICKING,39,89,39089,Heroin,175,1639,70999,40.08333,-82.50028,0.02308483218073494
895,2010,OH,LICKING,39,89,39089,Propoxyphene,2,1639,70999,40.08333,-82.50028,0.02308483218073494
897,2010,OH,LOGAN,39,91,39091,Buprenorphine,1,273,70999,40.36667,-83.76666999999999,0.0038451245792194256
905,2010,OH,FAIRFIELD,39,45,39045,Oxycodone,78,846,70999,39.75028,-82.6,0.011915660783954703
913,2010,OH,FRANKLIN,39,49,39049,Hydrocodone,60,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
914,2010,OH,FRANKLIN,39,49,39049,Oxycodone,346,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
915,2010,OH,FRANKLIN,39,49,39049,Oxymorphone,4,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
916,2010,OH,FRANKLIN,39,49,39049,Tramadol,1,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
921,2010,OH,FULTON,39,51,39051,Methadone,1,65,70999,41.6,-84.13333,0.0009155058521951013
923,2010,OH,GEAUGA,39,55,39055,Oxycodone,13,114,70999,41.50056,-81.16667,0.0016056564176960238
934,2010,OH,GUERNSEY,39,59,39059,Hydrocodone,15,316,70999,40.05,-81.51666999999999,0.004450766912210031
935,2010,OH,HAMILTON,39,61,39061,Hydrocodone,347,13780,70999,39.18333,-84.53333,0.19408724066536148
936,2010,OH,HAMILTON,39,61,39061,Tramadol,25,13780,70999,39.18333,-84.53333,0.19408724066536148
942,2010,OH,HARDIN,39,65,39065,Oxycodone,46,326,70999,40.65,-83.66667,0.0045916139663938925
943,2010,OH,HARDIN,39,65,39065,Oxymorphone,1,326,70999,40.65,-83.66667,0.0045916139663938925
951,2010,OH,HIGHLAND,39,71,39071,Hydrocodone,20,527,70999,39.18333,-83.61667,0.007422639755489514
952,2010,OH,HIGHLAND,39,71,39071,Morphine,7,527,70999,39.18333,-83.61667,0.007422639755489514
953,2010,OH,HOLMES,39,75,39075,Buprenorphine,1,129,70999,40.55,-81.9,0.0018169269989718165
957,2010,OH,HURON,39,77,39077,Oxycodone,33,240,70999,41.15,-82.55,0.0033803293004126818
961,2010,OH,JACKSON,39,79,39079,Heroin,35,632,70999,39.03333,-82.61667,0.008901533824420061
962,2010,OH,JACKSON,39,79,39079,Tramadol,1,632,70999,39.03333,-82.61667,0.008901533824420061
964,2010,OH,JEFFERSON,39,81,39081,Heroin,13,264,70999,40.36667,-80.75028,0.00371836223045395
965,2010,OH,JEFFERSON,39,81,39081,Propoxyphene,1,264,70999,40.36667,-80.75028,0.00371836223045395
979,2010,OH,KNOX,39,83,39083,Methadone,2,31,70999,40.4,-82.37222,0.0004366258679699714
980,2010,OH,LAKE,39,85,39085,Buprenorphine,14,2726,70999,41.63333,-81.38333,0.03839490697052071
981,2010,OH,LAKE,39,85,39085,Hydrocodone,39,2726,70999,41.63333,-81.38333,0.03839490697052071
982,2010,OH,LAKE,39,85,39085,Propoxyphene,4,2726,70999,41.63333,-81.38333,0.03839490697052071
995,2010,OH,LICKING,39,89,39089,Hydrocodone,55,1639,70999,40.08333,-82.50028,0.02308483218073494
996,2010,OH,LICKING,39,89,39089,Morphine,4,1639,70999,40.08333,-82.50028,0.02308483218073494
1001,2010,OH,LORAIN,39,93,39093,Oxycodone,11,232,70999,41.33333,-82.15,0.0032676516570655924
1005,2010,OH,FRANKLIN,39,49,39049,Codeine,3,2921,70999,39.96667,-83.01666999999999,0.041141424527106014
1022,2010,OH,GREENE,39,57,39057,Propoxyphene,1,964,70999,39.68333,-83.9,0.013577656023324272
1026,2010,OH,HAMILTON,39,61,39061,Fentanyl,11,13780,70999,39.18333,-84.53333,0.19408724066536148
1027,2010,OH,HAMILTON,39,61,39061,Hydromorphone,13,13780,70999,39.18333,-84.53333,0.19408724066536148
1029,2010,OH,HANCOCK,39,63,39063,Codeine,5,573,70999,41.01667,-83.66667,0.008070536204735279
1030,2010,OH,HANCOCK,39,63,39063,Hydrocodone,22,573,70999,41.01667,-83.66667,0.008070536204735279
1031,2010,OH,HANCOCK,39,63,39063,Methadone,1,573,70999,41.01667,-83.66667,0.008070536204735279
1036,2010,OH,HARDIN,39,65,39065,Buprenorphine,9,326,70999,40.65,-83.66667,0.0045916139663938925
1037,2010,OH,HARDIN,39,65,39065,Morphine,3,326,70999,40.65,-83.66667,0.0045916139663938925
1045,2010,OH,HOCKING,39,73,39073,Oxycodone,21,66,70999,39.51667,-82.46667,0.0009295905576134875
1050,2010,OH,JACKSON,39,79,39079,Hydromorphone,2,632,70999,39.03333,-82.61667,0.008901533824420061
1063,2010,OH,LAKE,39,85,39085,Heroin,193,2726,70999,41.63333,-81.38333,0.03839490697052071
1064,2010,OH,LAKE,39,85,39085,Methadone,10,2726,70999,41.63333,-81.38333,0.03839490697052071
